gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu00324_1,5213,11258,12014,11131,1760,1961,2252,2414,6711,11090,24709,24301,9125,7042,4181,6039,15119,13444,13517,14321,3162,1932,2111,2987
acu00325_2,421,256,281,301,2636,2774,321,334,694,467,761,713,1697,1015,1307,911,530,480,592,578,628,319,952,1136
acu00325_1,2,1,1,1,38,61,10,6,84,148,204,260,208,208,397,37,161,127,155,137,20,70,42,28
acu00326_1,2165,864,1273,1350,695,714,851,907,417,541,217,406,402,261,536,626,1023,685,576,823,385,260,514,821
acu00328_1,2648,1531,2165,2273,348,389,287,281,2165,6239,6253,10294,494,366,86,229,9256,10440,10683,9656,4514,2007,1938,1645
acu00328_2,9,5,9,7,1,3,5,8,46,46,7,13,1,0,1,1,1,0,0,1,2,14,0,5
acu00329_2,1078,523,647,602,31283,33377,10525,7407,111,219,61,115,6367,3259,1609,595,536,391,435,651,1780,6398,12782,13174
acu00329_1,119,104,159,158,12478,13762,8855,5509,198,183,162,251,3879,3165,9405,5897,243,219,219,213,794,1627,7671,8992
acu00330_2,2340,1667,1359,965,1202,1312,1420,1502,802,1032,618,636,1352,1179,1016,1574,2460,2033,2266,2836,1468,365,1461,1174
acu00330_1,2600,3517,2527,2594,2473,2852,2295,2070,1152,1507,2192,3009,5654,5279,3112,3141,3223,2917,3612,3601,2331,1372,1834,2479
acu00331_2,1304,1173,929,893,1086,1276,823,873,467,411,279,406,568,377,435,280,902,784,782,828,1041,618,637,736
acu00332_1,11610,13846,7493,9792,12707,14016,10953,9688,24418,16159,4935,10294,28038,18936,11051,10244,7930,8197,7374,7376,7185,5728,9318,13479
acu00332_2,244,167,219,176,115,163,79,70,33,48,35,33,173,162,87,49,318,311,232,338,1488,639,498,545
acu00333_2,17867,9128,15161,14496,57412,57823,88294,88083,5242,2760,2306,4594,18539,12369,22751,23754,9632,8083,8397,10473,19806,15453,19120,27006
acu00333_1,17500,15767,13599,12214,10233,11033,8995,8888,13447,11173,5635,10115,14856,11578,7918,9337,8651,6967,6489,9258,6357,3138,2986,4843
acu00334_2,1073,1048,753,852,486,549,491,361,1010,1825,2242,1864,623,697,214,337,1023,1136,1120,1014,1845,1786,987,761
acu00334_1,1265,787,1091,890,3834,4782,13067,5003,35293,31845,897,5871,1373,1494,4609,17648,1082,731,834,1124,15704,12023,18927,24205
acu00335_1,2971,3603,3255,4592,2618,2533,1272,1244,1541,3717,1642,4135,966,753,1087,1274,7000,4950,3826,6486,1001,518,869,1535
acu00335_2,348,224,160,165,1257,1453,326,469,1845,4097,3971,8283,3487,3160,2981,3098,6381,4264,3649,6311,1390,798,1244,1432
acu00336_1,475,479,405,439,1829,1912,342,330,585,2183,262,309,6064,6689,279,485,918,846,722,955,5349,4557,2447,2331
acu00336_2,395,417,146,148,27,25,7,10,39,67,5,29,5,2,8,7,39,24,32,62,4,3,1,7
acu00337_1,20407,19269,20562,19121,19103,19931,16571,17198,19560,21734,19419,21765,18767,14504,18915,21261,19301,16912,17968,21288,12837,10101,12769,19356
acu00337_2,14556,10440,11678,11099,8290,8611,8156,8691,9697,10349,9295,9082,6688,5728,11859,11010,12447,10551,12563,12960,6932,6339,7092,11744
acu00338_1,123,313,230,178,62,88,44,22,183,1001,754,1340,142,165,64,80,710,532,728,732,190,108,149,157
acu00338_2,5021,5743,5671,3402,1474,1733,1638,1909,1033,1433,1150,1174,2130,2420,2222,1227,565,571,738,628,1433,837,729,785
acu00339_1,698,483,1127,1142,1957,2644,2156,1359,1739,1410,345,385,2962,3563,889,469,5930,5029,6968,6915,5253,5281,2706,3205
acu00339_2,1179,750,606,651,1072,1123,1088,957,684,602,810,531,2502,2840,3429,2446,1986,2028,2661,2594,2056,2002,2332,2087
acu00340_1,1263,888,984,809,519,529,498,403,2293,2569,1609,1503,867,703,903,836,1908,1488,1459,1974,832,422,467,561
acu00341_1,6115,2458,2136,2454,566,646,1357,1469,160,166,252,205,109,100,395,261,1102,885,983,1103,662,511,1371,1460
