gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu03115_1,31624,33869,24381,19458,10079,10280,7758,7901,12643,9501,7129,9857,15322,11904,7181,7026,8582,6373,7315,9254,5451,2275,3211,5410
acu03116_1,140,92,86,49,2410,2539,248,215,45,39,34,52,4729,4877,410,1262,126,125,121,93,9915,3298,6150,8562
acu03117_1,3568,2310,3072,3075,2994,3626,2591,2503,4417,4012,1635,3408,2357,1373,2114,2886,3676,2819,2272,3183,1515,1358,1288,2643
acu03118_1,3697,1977,2883,2832,1689,2601,1297,990,3337,3117,2958,1795,1226,1680,1289,1929,5565,4379,5040,6187,2222,1493,2549,4633
acu03119_1,1375,1097,1253,1179,1426,1514,671,729,1203,1568,1069,1677,1324,1071,947,917,967,939,872,930,929,454,517,799
acu03120_1,2524,4084,3909,3197,4852,5594,3143,2970,5318,5794,6258,7010,9152,8610,5020,6793,5463,5181,6006,6264,11515,7188,8783,8167
acu03121_1,34703,26390,29359,25881,16949,17988,15839,16402,40421,26450,27725,19047,33099,30973,18235,25630,43378,36606,45855,48386,20940,23836,29863,40918
acu03122_1,4499,4580,3508,2971,3902,4382,3450,3777,2090,1582,1465,2406,1442,1380,1587,1706,5764,4346,4243,5952,1047,809,643,1587
acu03123_1,722,382,1504,1414,994,1036,1652,1169,196,322,428,680,2117,3463,1139,1103,1950,1416,1733,2254,2066,581,1440,2826
acu03124_1,205,164,211,177,304,263,163,174,233,267,199,281,415,487,172,254,454,411,413,498,444,174,261,251
acu03125_1,3207,1688,2516,2311,1280,1386,1196,1208,2096,2353,1583,1792,1099,980,1719,1416,2906,3166,3748,3230,1458,1100,1482,2103
acu03126_1,7006,7232,6793,5862,6054,6439,8460,8050,7477,11794,10517,10793,11662,12702,12887,12824,13836,13859,16360,15408,15102,10528,13775,13814
acu03127_1,933,682,755,787,452,501,517,580,760,936,919,1154,1284,1719,1143,1198,1226,1249,1585,1336,1820,852,853,1055
acu03128_1,4573,2982,3827,3999,2251,2353,1988,1997,2496,3067,2721,3972,2546,1829,3004,3036,5671,5334,5096,5616,4189,2448,3498,3828
acu03129_1,1021,885,1125,964,1282,1513,1795,1899,540,643,445,633,950,767,661,614,1243,1305,1668,1461,1172,631,1010,1108
acu03130_1,406,369,427,418,480,536,579,533,241,386,240,398,419,331,379,359,423,371,303,376,344,208,277,359
acu03131_1,20294,21221,17636,10255,2808,3149,4172,5358,8536,4821,6466,5686,23661,23892,4753,5665,1387,1269,1547,1493,4775,3061,1397,3212
acu03132_1,4969,784,3872,3026,868,1050,7823,9401,4297,2971,1913,3168,1857,880,6521,6639,1517,2287,1972,1527,6479,4707,9712,10993
acu03133_1,1117,392,348,307,1036,1206,1210,1075,152,231,393,475,4115,2680,1200,749,1122,1107,1386,1246,1562,831,1900,1644
acu03134_1,1046,538,790,1090,1267,1317,985,1098,737,683,439,835,941,463,795,693,1163,864,674,1036,417,305,301,690
acu03135_1,14,0,2,7,0,0,0,0,7,8,2,2,2,4,3,8,2,6,2,3,9,5,3,5
acu03136_1,1056,873,928,989,956,1103,1034,1039,399,552,328,563,515,387,473,576,645,523,597,695,682,375,582,542
acu03137_1,2402,3201,3922,4011,1432,1508,1479,1568,1386,5796,8198,12293,2006,1032,2277,1795,13423,11081,15176,16005,2057,1610,1776,2037
acu03138_1,318,244,240,165,88,129,204,140,317,591,888,601,320,245,437,355,562,530,699,734,226,205,285,456
acu03139_1,3420,2656,3084,2402,2501,2728,2164,2057,2586,3264,1786,2867,4436,3920,3108,3132,3190,3162,3187,3370,3318,1816,2597,2631
acu03140_1,29346,29759,29373,24927,47463,49086,47780,50742,43260,57893,41173,50467,59791,53775,44863,43344,40376,38791,41963,45029,28739,23353,30288,41410
acu03141_1,3748,2524,3545,3659,4819,5063,4633,4970,1054,1086,528,1194,1294,765,1128,1173,3258,2478,2134,2940,1575,994,1143,2174
acu03142_1,2595,2313,1953,1922,2115,2264,2049,2472,2710,2755,1833,3220,2020,1426,2782,3600,5146,4726,4277,5359,2646,2444,2157,3718
acu03143_1,5499,6096,5448,5053,4787,5335,5361,5528,7543,9820,8232,8485,8241,8880,9162,10722,8820,8241,10675,10032,9126,7898,9555,10431
acu03144_1,2798,2483,2896,2924,3395,3788,2902,2767,5266,5390,1689,4365,2610,1682,1383,1725,1544,1260,888,1348,495,369,373,731
acu03145_1,5503,5540,4996,4952,5170,5594,3340,3535,2775,3140,3002,5509,3204,1988,2527,2272,6930,5384,4827,7100,2035,1225,1506,2075
acu03146_1,831,1281,1155,813,403,513,1168,1031,12145,5260,2244,3839,307,210,1359,940,1130,835,891,1138,549,265,492,584
acu03147_1,46923,33488,23613,24652,637,686,538,264,23042,19644,15890,13077,203,123,104,89,29039,23501,26499,33303,253,79,66,39
acu03148_1,1624,914,864,671,717,917,833,756,1116,1386,2049,1700,1681,1905,1145,1514,1096,1068,1406,1314,825,443,727,554
acu03149_1,506,421,536,396,308,300,268,245,243,342,237,249,417,588,299,325,569,458,556,589,1082,528,751,769
acu03150_1,512,354,403,346,489,588,414,448,303,438,282,479,600,462,535,477,535,421,496,532,596,386,524,622
acu03151_1,7275,5120,6702,6387,5519,6774,5722,5565,18728,13850,13033,9437,10769,12936,10351,17796,10592,8289,10549,11652,17689,16104,18096,23424
acu03152_1,7379,6313,5784,4624,6844,7725,5969,5832,3531,4151,4863,5341,7332,6222,5980,5698,8169,7907,9717,9858,11408,5705,7500,6614
acu03153_1,14727,38287,29022,25977,11910,12925,16495,13504,27875,33583,5204,8968,9015,10689,1554,3181,2190,1948,2314,2324,4995,3255,1706,2622
acu03154_1,18148,27121,27690,21230,10466,10908,12136,11443,7213,9989,3519,7958,11893,12749,1872,4558,2332,1999,1942,2437,10029,5627,4236,5681
acu03155_1,5526,6007,6492,4005,4025,4367,4415,4969,1829,2030,1173,1949,3902,2072,1686,1805,2766,2219,2465,3000,3019,2550,1748,2930
acu03156_1,1170,1120,863,654,610,663,524,410,1186,1486,1726,3027,1645,1639,1451,1230,1733,1190,1554,1875,457,215,415,379
acu03157_1,5931,6319,6172,7674,7132,7605,7117,6279,3246,4564,2976,7113,5069,3335,2300,3527,8653,6678,5506,8323,4219,4175,3389,5797
acu03158_1,753,506,662,663,703,710,726,736,357,578,286,456,549,497,501,534,571,542,464,666,923,433,795,812
acu03159_1,51719,39701,32057,32596,19404,20273,22077,19699,51556,44005,14658,24126,34255,41203,22589,26002,25048,25105,28113,26821,74396,48508,35234,34554
acu03160_1,199,196,168,146,210,211,226,194,205,189,107,155,188,179,149,162,305,285,329,367,270,106,195,181
acu03161_1,191,130,164,122,246,266,281,280,290,357,77,172,344,374,326,373,249,213,270,303,829,403,417,572
acu03162_1,1835,887,814,856,445,525,679,720,961,764,1214,1944,2211,1312,2301,1349,1671,1291,1327,1710,526,325,835,1243
acu03163_1,8645,5082,5932,6009,5796,6437,5562,5456,8397,7618,4270,4516,7322,7587,8476,8597,7121,6030,7207,8182,7081,4763,8509,7041
acu03164_1,1291,837,1363,1576,2367,2424,1534,1204,1661,2012,1017,1530,1402,1303,1096,958,5546,5244,5706,5718,1872,1233,1438,2822
acu03165_1,3983,2348,3387,2844,7646,8356,5254,4494,1290,1115,923,980,4993,3255,2390,2159,5172,7393,8309,6067,6749,4797,3296,4171
acu03166_1,173,237,150,84,455,491,977,628,84,83,38,80,133,225,93,159,266,313,312,274,1137,640,430,517
acu03167_1,19618,25476,22448,20537,31045,32717,31675,29619,32338,37480,29069,34843,25572,22768,24673,33331,25928,25209,23455,25575,17776,21034,17270,27393
acu03168_1,1278,2162,1714,1576,2261,2717,2907,2086,1754,1822,1612,2118,2580,2892,1437,1598,1307,1953,2334,1719,8013,6617,5043,3737
acu03169_1,1850,1312,1644,1603,1695,1803,1292,1187,796,1100,392,1035,1159,924,821,836,1775,1494,1250,1667,1278,1037,898,1238
acu03170_1,212,66,99,72,7,9,14,23,116,89,2,34,42,70,17,10,21,23,28,38,22,40,75,54
acu03171_1,1860,1565,1810,1822,2014,2257,1361,1193,1330,1378,878,1421,1439,1093,1412,1647,2204,1811,1617,2154,2663,1663,2060,2998
acu03172_1,2913,1780,2161,1700,3244,3691,3677,3597,1739,2117,1242,1293,3796,3194,5960,6683,2347,2400,3127,2774,6421,3791,5747,5927
acu03173_1,10186,6670,7645,6501,6156,6502,5143,4965,5981,6354,6157,7919,7721,5490,8178,7360,7677,6518,6075,7934,5467,3347,5965,6045
acu03174_1,11983,12739,13331,14446,6252,6459,8329,6914,6827,12210,6145,8617,8051,11165,3386,6138,3516,4013,4263,3258,15335,7582,9143,8839
acu03175_1,151828,237803,233566,212236,177544,170766,189605,165663,198601,262535,91897,172244,136428,160097,46094,98608,45329,62665,44177,33417,229615,254157,145840,197122
acu03176_1,2763,1843,2382,2711,2954,3004,1661,1576,2508,2179,1650,2928,1141,661,1063,1724,1940,1720,1164,1529,345,436,335,801
acu03177_1,481,489,419,392,357,376,267,228,793,1104,693,962,1666,1913,873,1210,1245,1326,1263,1278,1412,752,750,981
acu03178_1,1960,1324,1216,1226,1311,1344,1019,1011,1681,1495,681,854,1081,900,725,750,1303,986,777,1230,620,330,522,592
acu03179_1,355,405,1099,599,215,346,680,660,91,140,17,27,43,74,17,13,8,4,5,4,6,22,4,13
acu03180_1,8753,9260,7804,6149,7301,7565,4733,4645,4367,5429,1160,2402,10974,8088,1968,2620,3170,2570,2215,3126,1489,908,707,1869
acu03181_1,7467,3784,4169,3560,3011,3270,3375,3306,4869,4456,1467,3573,2769,2453,2962,4117,2107,1677,1354,1973,1889,1087,1798,2726
acu03182_1,540,270,328,230,640,713,541,524,560,481,273,462,1138,786,777,1074,479,357,291,507,808,541,473,833
acu03183_1,812,559,669,526,192,205,210,254,359,571,305,567,819,650,316,323,348,331,287,390,732,210,150,265
acu03184_1,2350,1494,1620,1289,1226,1395,1078,1145,1297,1618,1035,1358,1815,1741,1057,1359,1082,965,945,1153,1590,775,730,1225
acu03185_1,440,294,327,259,286,317,209,179,294,550,265,254,351,285,109,140,300,264,350,351,300,135,97,169
acu03186_1,1228,952,1141,749,455,555,462,447,1315,1223,960,1041,752,959,968,1264,1093,1335,1228,1215,3200,1052,1539,1685
acu03187_1,2453,2089,1926,1512,1495,1472,1353,1369,2965,3885,3923,5429,7593,7020,5015,4915,1808,1567,1861,1950,2007,715,1028,1154
acu03188_1,1271,804,1079,1075,627,703,647,626,1908,2305,447,1228,1713,848,1469,1825,1185,793,585,1046,212,286,396,964
acu03189_1,20909,19764,17942,15688,9671,11626,9748,9400,33610,28963,35495,25235,21539,23676,16584,27064,20012,18466,20980,20730,31571,23215,24198,28369
acu03190_1,29,77,26,21,39,47,79,12,70,152,540,225,131,107,664,482,366,332,241,418,87,86,55,95
acu03191_1,9520,7962,5995,5017,4837,5374,5637,5567,7836,7820,10944,9186,9110,9656,8598,10052,7081,6344,8395,7978,12639,7032,9721,8675
acu03192_1,252,540,431,449,397,384,261,208,385,303,262,327,160,257,284,241,550,425,377,561,591,280,491,390
acu03193_1,1019,757,912,816,638,751,576,622,672,968,583,817,566,424,836,830,900,715,740,1016,689,323,532,696
acu03194_1,12974,12171,11412,8109,8209,8492,4846,5118,8120,6656,3614,5056,9710,7623,4182,4439,9984,8719,8300,9876,8735,5278,4041,7213
acu03195_1,3862,3048,2698,2448,2299,2591,1765,2035,3417,3550,3633,3372,4930,4659,3879,4239,4680,4437,5503,5149,4897,3052,3858,4283
acu03197_1,3451,1987,2683,2738,3311,3616,2352,2023,3774,3210,2112,2203,2394,1642,3192,3297,3001,2268,2418,2867,1815,1303,1467,2393
acu03198_1,942,786,1084,900,1246,1399,784,830,1947,1421,1012,2029,872,811,1307,1526,1866,1854,1481,1902,962,1051,769,1283
acu03199_1,9214,4611,3762,3669,4958,5657,3574,3886,3282,3134,877,1305,2881,1747,1658,1556,4276,3446,3369,4292,1461,1270,1048,2081
acu03200_1,2268,2004,2019,1759,2425,2720,1671,1789,3850,3325,6587,5737,4858,4928,3466,3656,3812,3616,4124,4180,2392,1667,1843,2514
acu03201_1,644,383,509,378,348,352,282,317,475,666,512,795,527,456,496,521,395,404,393,454,372,198,324,407
acu03202_1,441,337,413,398,363,432,415,347,320,612,323,498,367,385,248,287,301,366,308,377,454,138,309,318
acu03203_1,2496,1468,1942,2106,329,544,872,1074,455,638,303,402,1475,1407,976,594,205,204,209,260,118,37,387,339
acu03204_1,14677,10065,14389,11976,7162,7563,7281,6356,16874,11230,5360,11269,5236,4345,6259,6227,14082,13235,12696,13914,4590,2761,2991,5150
acu03205_1,3373,2571,3096,2818,4198,4405,2918,2847,4953,3360,2131,3519,3364,3523,2790,2534,4376,3772,3965,4223,3841,1772,2263,2815
acu03206_1,3626,4379,5864,5060,3667,3927,2995,3188,1866,2059,1970,3647,1749,1737,1632,1842,3233,2759,2598,3585,1419,1082,1103,1934
acu03207_1,61935,80069,72333,45591,23860,24745,19378,22642,10994,8971,9125,14585,58381,40091,7730,11306,8999,6490,7986,8975,30588,14674,11418,21889
acu03208_1,2136,3154,2686,1567,1898,2111,1656,1719,1325,1117,1057,1285,2543,2012,1408,1311,2652,2331,2753,2811,2660,1803,2056,2300
acu03209_1,1060,789,715,655,817,938,622,568,882,1263,1285,1943,1137,1101,1241,1254,997,917,929,1067,915,500,688,664
acu03210_1,601,429,396,368,165,195,221,230,756,639,966,1132,663,711,580,692,420,404,573,426,2240,1182,1223,1153
acu03211_1,5626,3557,4088,2002,204,238,325,513,373,334,714,876,1067,1047,273,392,210,211,237,207,1479,800,759,1239
acu03212_1,3075,2609,2326,2274,1854,2312,1685,1744,2167,2622,2496,2734,2717,2338,2428,2790,2106,2010,2271,2420,3527,1508,2275,1943
acu03213_1,1392,821,872,721,571,653,504,568,1017,1009,773,911,1302,1131,781,844,816,814,1025,945,950,507,814,814
acu03214_1,529,247,409,214,209,177,218,197,333,383,162,231,296,217,286,366,169,177,136,175,87,61,110,132
acu03215_1,657,378,377,406,32,53,103,114,1267,624,153,269,420,317,254,209,139,141,171,161,37,55,56,97
acu03216_1,3067,2304,2799,2434,2227,2396,2081,2026,2861,3189,2133,2839,2004,1289,2145,1981,2169,1576,1477,2082,1011,775,780,1187
acu03217_1,1954,1136,1445,1799,3168,3471,1855,1735,1022,1042,431,742,647,401,544,703,705,465,603,695,386,240,340,458
acu03218_1,1052,757,841,857,818,1000,598,687,1214,911,988,1134,1128,754,1387,1505,1105,873,901,1177,636,360,599,624
acu03219_1,341,248,278,209,211,243,230,241,169,319,437,494,610,553,1582,2324,573,635,696,750,3769,2446,1752,1634
acu03220_1,932,982,887,801,972,1117,906,792,646,906,819,1051,1181,1684,1147,1234,472,470,550,597,1223,568,843,752
acu03221_1,2272,2104,2162,1579,1507,1744,1645,1756,1069,1264,942,1466,2289,1985,1137,1250,1841,1958,1897,2055,1863,918,1227,1354
acu03222_1,246,160,225,261,253,345,361,280,104,158,102,262,183,151,228,281,361,253,299,375,364,221,387,536
acu03223_1,159,130,196,155,561,687,250,255,48,35,22,41,81,120,104,205,250,192,272,265,450,225,255,353
acu03224_1,1047,881,1113,1139,1613,1706,1217,1191,1213,1423,894,1675,1169,940,1070,1097,784,617,712,731,633,493,513,854
acu03225_1,675,569,651,601,422,403,374,424,1281,1549,1254,1330,1592,1604,1398,1622,1046,1118,1195,1211,2296,1031,1573,1826
acu03226_1,1083,709,766,606,991,987,1426,1432,125,243,17,97,342,180,308,294,236,165,102,251,169,100,188,460
acu03227_1,9663,6953,8299,9558,8158,8400,5534,5588,6836,7245,3386,6673,4154,2146,3815,5398,7845,6323,4218,6859,1956,2207,1733,3919
acu03228_1,2341,1893,1739,1444,1627,1720,1566,1568,2678,3016,2294,2160,3163,4096,2145,2511,3609,3259,4188,4099,5427,2673,4307,4253
acu03229_1,2125,1211,1079,1150,1353,1521,1350,1323,778,1463,1226,1282,2333,2069,1877,1513,2867,2905,3323,3388,2440,1900,2405,2862
acu03230_1,2037,1468,2152,2011,1557,1661,1582,1492,1379,1903,1372,2376,1023,885,1379,1283,1560,1442,1374,1605,1184,697,887,1219
acu03231_1,3239,1443,2389,1933,3554,3456,2219,2072,5722,3602,2088,4639,2951,1990,3505,3190,4523,3322,2749,4428,1466,1180,1584,2498
acu03232_1,243,199,282,222,355,353,373,262,143,192,81,213,200,147,161,118,157,153,124,179,320,124,191,246
acu03233_1,4,22,28,4,13,10,22,8,26,33,9,10,14,18,6,2,781,601,725,823,7,2,14,18
acu03234_1,3851,2210,1921,1519,1237,1393,1868,1777,2069,2336,1929,1187,3446,3332,2683,2138,1581,1542,1832,1790,2349,1650,3096,2563
acu03235_1,38,38,28,18,24,25,120,68,329,946,84,101,399,505,327,209,148,146,108,166,268,94,1339,1184
acu03236_1,2648,2076,1671,1457,1101,1260,1318,1305,766,1088,875,981,937,803,1046,1079,1439,1307,1689,1848,2853,1337,1820,1705
acu03237_1,13329,13659,13653,12132,5666,5850,4491,3898,8791,8250,10101,14123,4173,4254,2593,2602,14742,14244,13647,15076,7249,4161,2418,3990
acu03238_1,120,161,263,269,41,13,6,13,430,143,224,135,54,17,42,19,640,564,760,926,10,46,17,26
acu03239_1,6276,4415,4594,4040,2957,3169,3073,3041,3345,2952,6345,3392,6536,6428,13324,12626,787,806,1045,925,1050,977,749,533
acu03240_1,548,494,2738,2216,1331,1359,2096,2321,98,304,108,57,842,608,3209,2802,783,763,529,732,1226,415,599,1084
acu03241_1,2688,2282,2183,2473,3845,4336,4358,4349,2625,2963,945,1669,1567,1168,1632,1715,2540,2169,2172,2720,1957,1067,1744,2037
acu03242_1,262,220,250,222,267,339,352,300,795,2113,255,276,371,551,382,342,531,694,729,526,868,754,1029,888
acu03243_1,601,496,677,541,488,587,557,512,1115,1519,712,589,212,132,491,471,1603,1264,1420,1562,697,374,492,905
acu03244_1,1854,1238,1440,1108,1974,2069,1694,1685,1168,1501,1642,1609,1144,1037,1770,1301,1996,1931,1952,2222,1575,1055,1281,1902
acu03245_1,9981,7274,6009,5273,3632,4279,4457,4492,4489,4998,5189,4308,4071,4463,5432,5720,6071,5906,7563,6796,10170,5909,6888,6717
acu03246_1,3903,3169,3717,3496,3044,3297,2437,2405,3470,3756,3443,5368,1734,1427,2248,2060,3445,2739,2326,3093,1345,1125,845,1701
acu03247_1,9936,6511,7635,7559,7663,8208,6117,5380,3641,3162,2030,4075,2534,1572,2210,3109,7063,5701,4062,6460,1514,1896,1037,2328
acu03248_1,222,328,235,203,112,151,175,192,268,357,103,218,487,446,487,496,258,205,204,246,408,228,279,476
acu03249_1,10951,10104,9582,8746,9284,10244,6688,7219,6690,8576,6446,10643,7190,4633,6599,5602,16026,11570,10389,15186,5154,3763,5771,8931
acu03250_1,1649,2071,2580,1353,196,222,336,401,162,208,256,280,2150,2185,86,109,108,123,147,159,1831,1327,1120,1777
acu03251_1,2820,1860,955,902,1102,1177,1405,1140,439,637,344,349,3815,4088,1457,960,1521,1377,1676,1779,2072,614,905,825
acu03252_1,46219,54558,22459,14219,3292,4160,5003,6497,5248,5094,3015,3830,11641,11875,2582,2794,2448,2276,2847,2611,6779,3641,2334,2472
acu03253_1,6820,6506,4761,4502,1988,2048,1613,1575,3043,3425,3749,6274,2993,2363,1517,1944,6221,4831,4626,6123,1392,770,493,747
acu03254_1,2638,1695,2116,1593,610,790,912,970,3710,4169,4241,2099,1676,1795,1610,2318,2627,2232,2693,2915,1423,1602,2182,2932
acu03255_1,731,612,774,788,675,648,578,477,396,558,537,801,830,693,775,946,707,748,593,754,1214,506,859,1047
acu03256_1,31,8,29,25,12,5,3,9,54,62,102,115,65,46,39,18,25,29,36,45,26,20,11,13
acu03257_1,1592,999,1070,821,615,663,618,579,1433,1432,1752,2278,3542,4207,2051,2238,2578,2316,2514,2889,6314,3665,5235,4363
acu03258_1,3136,2115,2971,2692,1877,2000,1641,1706,848,783,486,992,1820,1235,1135,1379,2855,2095,1730,2695,847,572,739,1329
acu03259_1,444,236,588,470,586,692,604,512,302,330,295,261,269,324,673,767,767,652,687,816,1858,1010,2379,1527
acu03260_1,1127,951,1194,1178,917,1091,778,679,1050,1701,682,1020,644,664,823,1055,1215,983,977,1278,860,663,848,1208
acu03261_1,257,121,214,173,70,149,161,199,284,45,22,41,81,79,82,82,235,222,215,259,141,89,183,188
acu03262_1,826,566,508,557,378,473,358,404,815,806,961,1162,2038,1451,1891,1784,982,825,954,1023,260,173,254,293
acu03263_1,111,71,109,83,55,63,42,22,98,55,40,87,36,42,38,48,39,28,41,44,23,13,40,30
acu03264_1,978,391,502,329,883,863,719,623,530,487,526,457,4351,1809,1209,982,318,347,478,398,630,365,351,271
acu03265_1,106,69,104,112,2489,3143,456,317,151,176,110,121,18263,5757,1309,534,141,140,160,182,726,642,114,190
acu03266_1,275,131,136,183,448,500,182,140,263,349,212,276,1500,705,1280,725,492,364,333,457,349,230,263,502
acu03267_1,4905,3436,3525,2882,1359,1344,1288,1411,924,1678,925,1198,1064,925,1496,1363,1964,1620,2119,2290,1447,947,1192,1341
acu03268_1,466,215,453,487,648,705,561,569,196,244,106,188,462,358,515,670,401,372,329,377,1049,605,592,1119
acu03269_1,3774,2846,3974,3519,4154,4591,3882,3766,1506,1328,676,1276,1002,810,898,1064,4748,3769,3096,4661,1709,1377,1347,2600
acu03270_1,6627,10386,16886,14892,24287,23907,16402,13430,11974,10471,11985,16753,25469,22694,14033,16458,9366,9324,10301,9852,9688,5870,7537,15051
acu03271_1,570,415,516,435,673,777,827,752,264,354,392,335,421,331,406,403,643,636,601,627,871,357,557,797
acu03272_1,529,288,289,311,281,281,241,257,158,288,258,323,819,766,441,437,502,467,569,543,367,221,240,331
acu03273_1,708,603,775,656,1270,1310,836,803,763,1032,903,1169,1049,1262,966,914,1178,1291,1506,1200,1423,1870,820,1192
acu03274_1,2986,3397,3790,3132,3775,4030,3102,3354,4192,5234,7759,7769,4991,4264,6141,5748,7895,7500,8202,8720,3896,3198,3530,5974
acu03275_1,4604,3809,4081,3601,2982,3358,2240,2410,3075,4061,5085,4936,3350,2918,3839,3684,2553,2589,2747,2792,3216,1655,2424,2676
acu03276_1,347,212,247,242,422,472,296,279,222,264,341,218,209,225,238,336,417,401,510,434,359,210,273,352
acu03277_1,18452,13521,14880,12858,8353,8863,9875,9247,13463,14982,21118,16004,15013,19108,20123,24643,14308,13893,16613,15442,14578,8954,14296,13621
acu03278_1,1335,925,1065,880,982,1119,1209,1282,1155,1499,864,1144,1519,1511,2344,2152,1651,1171,1523,1711,1425,807,1733,1879
acu03279_1,1759,1131,762,1032,738,818,456,396,3026,3669,4596,5755,4129,5452,3758,4747,3277,3249,4081,3992,1573,782,1081,1458
acu03280_1,866,1043,1060,850,1130,1317,1205,1079,1156,1618,1780,2243,1537,1471,1565,1776,1148,1112,1381,1416,1593,710,1135,1104
acu03281_1,941,465,376,282,435,475,702,621,312,525,394,441,1335,1297,788,680,414,312,347,398,391,210,452,350
acu03282_1,436,205,346,359,418,532,434,368,297,308,134,276,148,138,292,266,3848,4471,6185,4460,767,659,716,701
acu03283_1,6675,5616,5090,4421,4500,4651,2862,2529,2819,3845,3634,3504,3382,2708,3589,3481,3764,3302,3712,4049,3676,1878,2859,2345
acu03284_1,1638,1587,1382,1209,1663,1822,1308,936,1156,1189,1769,1383,1913,2477,1722,1825,2341,2597,2923,2617,2359,1128,1689,2401
acu03285_1,2303,2559,2519,1937,2353,2733,1997,1927,2355,3485,3138,3477,2977,3498,2797,3538,3392,3300,3480,3818,7736,3392,4484,3835
acu03286_1,1100,3284,1886,2073,1092,1395,1632,1658,929,1548,3032,3233,3206,1925,2456,1648,4859,3895,5080,5765,2070,1387,2315,2045
acu03287_1,941,1213,1347,1272,1640,1644,947,964,1306,1585,1279,1995,1070,944,792,753,1114,1112,1157,1164,1372,724,757,935
acu03288_1,1169,938,948,856,454,517,242,291,689,662,733,837,597,549,755,778,801,717,646,854,613,331,318,514
acu03289_1,1287,1523,923,1198,2670,2949,3766,3971,1395,1302,645,888,1661,1385,4103,4109,2325,2115,1989,2311,1223,718,2339,4267
acu03290_1,1880,1158,1145,1080,1964,2052,1720,1740,1717,2179,2055,1424,1798,1474,1985,1832,2465,2230,2776,2698,2868,1995,3206,3162
acu03291_1,2372,1205,2017,1687,2202,2581,1849,1475,2640,1979,1062,1027,842,592,1224,1548,2683,2112,2110,2420,1421,959,1324,2211
acu03292_1,1368,1408,1152,987,2694,2864,1977,2121,931,2421,497,903,2408,1916,1859,1960,3340,3396,3712,3416,6268,4846,6601,8713
acu03293_1,493,357,366,471,452,454,518,514,222,384,226,357,248,217,196,216,421,427,358,473,703,630,669,735
acu03294_1,703,370,348,401,438,513,373,294,65,145,110,112,615,491,197,141,629,554,686,764,745,356,511,529
acu03295_1,2226,1859,1833,1412,2792,3086,2148,2081,1055,784,1468,1493,1644,1425,1406,1740,2832,2572,3139,3070,5930,3850,3626,3941
acu03296_1,19564,9962,13240,12220,22486,23104,18008,18399,13366,14604,14586,15675,6685,2765,13804,10186,18996,15703,15608,19687,10888,7729,10836,18814
acu03297_1,3584,2841,2250,1984,971,1082,1414,1394,1661,1984,946,1294,1837,1369,2409,2408,1188,1013,1082,1350,640,391,723,1028
acu03298_1,6188,3925,3833,4057,5433,5717,4038,4005,6133,6003,2831,5716,5943,3675,3338,4299,6262,4807,4224,6079,2218,1435,1979,3251
acu03299_1,2123,1612,1630,1600,821,934,933,965,1907,1757,2135,1864,1687,1946,2199,2795,1768,1517,1943,1983,978,908,1104,1531
acu03300_1,4343,4689,4068,3815,3110,3181,2565,1760,427,578,441,818,693,581,840,689,8378,8596,7253,8557,7558,3337,4663,6665
acu03301_1,9334,7301,7538,4795,1295,1364,1719,1949,14791,9933,10471,13322,15129,13929,4261,3762,8301,6994,6633,8569,4723,2375,2496,3640
acu03302_1,5099,2901,3168,3122,2522,2842,2258,2175,2535,2660,1480,2215,2064,1368,2321,2517,4834,3671,3296,4572,1075,884,936,1939
acu03303_1,5808,4413,4930,3655,8194,8357,2487,2152,3135,2666,1075,2732,2016,1869,618,629,5084,6438,4926,4562,7545,4271,4916,9462
acu03304_1,1194,557,713,808,432,410,453,460,2904,4106,3504,4470,2956,1983,3991,3609,1857,1598,1490,1741,847,437,631,903
acu03305_1,4830,3412,3348,3068,2156,2248,2038,1922,614,733,955,825,817,610,1121,1111,1242,1170,1333,1199,1388,801,972,1338
acu03306_1,910,669,651,773,540,593,431,435,2090,2316,2456,2596,1809,1798,2143,2136,1386,1314,1468,1423,869,386,644,778
acu03307_1,1857,1240,1493,1522,1415,1589,1353,1168,1333,1487,1522,1436,1775,1414,1661,1827,3682,3607,3686,3835,3690,1570,2206,2745
acu03308_1,7944,5098,4598,3897,2285,2441,1926,2069,3086,3443,3674,3770,2846,2418,3955,4096,5714,5014,5168,6019,3337,1912,2811,3401
acu03309_1,2821,1512,2331,2067,1260,1364,1148,1002,1347,1280,1626,1587,1237,1047,1607,1804,1026,858,1186,1131,861,439,998,844
acu03310_1,8287,8130,6801,5967,4756,5354,5079,5244,6233,6767,7498,5531,7861,10884,7656,10488,7130,6595,8029,7865,12133,7409,10376,9748
acu03311_1,1740,1258,1582,1255,923,1027,1185,1129,233,216,399,425,121,86,212,227,6146,6692,7995,7665,3474,1273,2800,4258
